Date;Wind speed  (vc avg);Wind  direction  (vc avg);Wind  speed (max);Wind Dir.(Max wind speed);latitude;longitude;station_id
16 Jul 2017;0.9;129.96532634088;4.3;99.4;-24.1296;15.8947;31201
17 Jul 2017;1.8;91.455049130244;5.9;94.6;-24.1296;15.8947;31201
18 Jul 2017;2.0;208.06293843177;4.5;181.7;-24.1296;15.8947;31201
19 Jul 2017;1.7;212.13986499931;4.0;188.9;-24.1296;15.8947;31201
20 Jul 2017;1.5;115.84573510749;3.8;138.7;-24.1296;15.8947;31201
21 Jul 2017;1.4;246.53355961205;4.9;231.5;-24.1296;15.8947;31201
22 Jul 2017;1.7;229.55188198327;4.8;219.6;-24.1296;15.8947;31201
23 Jul 2017;0.7;225.29091294721;4.7;315.0;-24.1296;15.8947;31201
24 Jul 2017;1.7;282.83501887139;6.7;338.2;-24.1296;15.8947;31201
25 Jul 2017;2.1;201.52842175209;7.4;180.4;-24.1296;15.8947;31201
26 Jul 2017;2.7;100.89950153881;6.7;101.8;-24.1296;15.8947;31201
27 Jul 2017;2.9;49.210895130238;9.1;30.94;-24.1296;15.8947;31201
28 Jul 2017;1.9;346.51922807396;7.3;2.49;-24.1296;15.8947;31201
29 Jul 2017;2.1;29.698785588317;7.9;28.09;-24.1296;15.8947;31201
30 Jul 2017;2.2;15.030748044868;6.0;29.38;-24.1296;15.8947;31201
31 Jul 2017;4.6;325.04015795484;12.5;351.1;-24.1296;15.8947;31201
01 Aug 2017;1.2;245.74261557879;3.5;271.1;-24.1296;15.8947;31201
02 Aug 2017;1.2;230.93394651436;5.4;199.3;-24.1296;15.8947;31201
03 Aug 2017;1.1;248.77745400375;5.3;355.6;-24.1296;15.8947;31201
04 Aug 2017;2.4;194.9327464523;6.0;199.2;-24.1296;15.8947;31201
05 Aug 2017;2.0;208.92656656164;4.4;221.8;-24.1296;15.8947;31201
06 Aug 2017;1.5;212.22645462489;4.0;239.6;-24.1296;15.8947;31201
07 Aug 2017;2.3;244.30251258353;5.0;283.5;-24.1296;15.8947;31201
